	Study	Sample	Ecosystem	Habitat	Location	Date	Cryosphere	Latitude	Longitude
88	PRJEB26163	ERR2528577	Marine	Water	Arctic	01.07.14	Yes	78.838	-3.976
89	PRJEB26163	ERR2528578	Marine	Water	Arctic	01.07.14	Yes	78.838	-3.976
90	PRJEB26163	ERR2528579	Marine	Water	Arctic	01.07.14	Yes	78.836	1.005
91	PRJEB26163	ERR2528580	Marine	Water	Arctic	01.07.14	Yes	78.838	-3.976
92	PRJEB26163	ERR2528581	Marine	Water	Arctic	01.07.14	Yes	78.833	-5.498
93	PRJEB26163	ERR2528582	Marine	Water	Arctic	01.07.14	Yes	78.833	-5.498
94	PRJEB26163	ERR2528583	Marine	Water	Arctic	01.07.14	Yes	78.833	-5.498
95	PRJEB26163	ERR2528584	Marine	Water	Arctic	01.07.14	Yes	78.833	-5.498
96	PRJEB26163	ERR2528585	Marine	Water	Arctic	01.07.14	Yes	78.658	-7.006
97	PRJEB26163	ERR2528586	Marine	Water	Arctic	01.07.14	Yes	78.658	-7.006
98	PRJEB26163	ERR2528587	Marine	Water	Arctic	01.07.14	Yes	78.658	-7.006
99	PRJEB26163	ERR2528588	Marine	Water	Arctic	01.07.14	Yes	78.658	-7.006
100	PRJEB26163	ERR2528589	Marine	Water	Arctic	01.07.14	Yes	78.658	-7.006
101	PRJEB26163	ERR2528590	Marine	Water	Arctic	01.07.14	Yes	78.658	-7.006
102	PRJEB26163	ERR2528591	Marine	Water	Arctic	01.07.14	Yes	78.806	-9.929
103	PRJEB26163	ERR2528592	Marine	Water	Arctic	01.07.14	Yes	78.806	-9.929
104	PRJEB26163	ERR2528593	Marine	Water	Arctic	01.07.14	Yes	78.806	-9.929
105	PRJEB26163	ERR2528594	Marine	Water	Arctic	01.07.14	Yes	79.146	2.754
106	PRJEB26163	ERR2528595	Marine	Water	Arctic	01.07.14	Yes	79.185	4.185
107	PRJEB26163	ERR2528596	Marine	Water	Arctic	01.07.14	Yes	79.185	4.185
108	PRJEB26163	ERR2528597	Marine	Water	Arctic	01.07.14	Yes	79.135	6.077
109	PRJEB26163	ERR2528598	Marine	Water	Arctic	01.07.14	Yes	79.135	6.077
110	PRJEB26163	ERR2528599	Marine	Water	Arctic	01.07.14	Yes	79.146	2.754
111	PRJEB26163	ERR2528600	Marine	Water	Arctic	01.07.14	Yes	79.146	2.754
112	PRJEB26163	ERR2528601	Marine	Water	Arctic	01.07.14	Yes	79.146	2.754
